Time,Hostname,CPU (%),RAM (%),Net (bytes),GPU (%),GPU Mem (MB)
1739203512.1561925,2d,45.8,85.8,3194849502,97,5923.828125
1739203513.3497293,2d,35.3,85.9,3195247427,90,5923.828125
1739203514.5131137,2d,46.9,86.4,3195441405,97,5940.015625
1739203515.681871,2d,46.8,86.6,3195651584,87,5940.015625
1739203516.8275373,2d,40.1,86.7,3195818765,80,5940.015625
1739203517.9782944,2d,42.7,87.0,3195925562,75,5940.015625
1739203519.1518924,2d,33.7,86.9,3196045028,74,5940.015625
1739203520.3041697,2d,36.1,87.0,3196157158,63,5940.015625
1739203521.4736812,2d,34.0,87.0,3196244339,62,5940.015625
1739203522.6365986,2d,42.2,86.9,3196337380,64,5940.015625
1739203523.8137887,2d,36.4,86.9,3196498554,65,5940.015625
1739203524.9770539,2d,32.0,86.9,3196608342,64,5940.015625
1739203526.1392121,2d,32.6,87.0,3196710823,62,5940.015625
1739203527.3011372,2d,35.8,87.0,3196830456,62,5940.015625
1739203528.4535778,2d,36.8,87.1,3196969880,66,5940.015625
1739203529.6079412,2d,35.1,87.1,3197090849,65,5940.015625
1739203530.7612019,2d,43.2,87.1,3197226040,59,5940.015625
1739203531.9002428,2d,34.7,86.9,3197344243,70,5940.015625
1739203533.0572543,2d,36.5,86.9,3197468791,70,5940.015625
1739203534.2172039,2d,31.9,86.9,3197563228,71,5940.015625
1739203535.3694797,2d,38.6,86.9,3197649401,74,5940.015625
1739203536.5355835,2d,32.9,86.9,3197728518,70,5940.015625
1739203537.681946,2d,37.4,86.8,3197884268,72,5940.015625
1739203538.8181381,2d,35.5,86.7,3198172386,70,5940.015625
1739203539.9722319,2d,30.0,86.7,3198422175,72,5940.015625
1739203541.123285,2d,39.0,86.0,3198630384,68,5940.015625
1739203542.3374934,2d,43.1,87.1,3199184832,61,5940.015625
1739203543.5590234,2d,65.3,87.5,3199361972,39,5940.015625
1739203544.788196,2d,57.5,87.7,3199515008,50,5940.015625
1739203545.974832,2d,51.1,89.5,3200175455,54,5940.015625
1739203547.1324742,2d,44.2,89.4,3200313465,55,5940.015625
1739203548.285258,2d,29.5,89.4,3200414845,65,5940.015625
1739203549.434826,2d,38.4,89.3,3200972885,68,5940.015625
1739203550.5975997,2d,33.2,89.3,3201083258,68,5940.015625
1739203551.7975926,2d,40.2,88.6,3201299174,69,5940.015625
1739203552.9623194,2d,42.3,88.5,3201418606,65,5940.015625
1739203554.1328564,2d,42.7,88.0,3201521708,65,5940.015625
1739203555.2975774,2d,35.4,88.0,3201603073,68,5940.015625
1739203556.4837847,2d,40.0,88.0,3201734151,72,5940.015625
1739203557.6556356,2d,45.1,88.1,3201821967,63,5940.015625
1739203558.8110445,2d,40.5,88.1,3201945165,67,5940.015625
1739203559.978531,2d,36.6,88.3,3202032704,72,5940.015625
1739203561.1449075,2d,34.0,88.3,3202098697,67,5940.015625
1739203562.3120706,2d,39.2,88.3,3202121429,69,5940.015625
1739203563.4674702,2d,42.2,88.1,3202121788,67,5940.015625
1739203564.6273694,2d,39.4,88.0,3202273709,71,5940.015625
1739203565.7832189,2d,35.1,88.0,3202273815,70,5940.015625
1739203566.939627,2d,40.0,88.1,3202274463,75,5940.015625
1739203568.0971873,2d,41.3,88.1,3202282685,72,5940.015625
1739203569.2295098,2d,38.3,88.1,3202283089,65,5940.015625
1739203570.3971963,2d,35.0,88.1,3202283646,74,5940.015625
1739203571.5459049,2d,34.6,88.1,3202284364,76,5940.015625
1739203572.6879702,2d,39.2,87.9,3202377284,66,5940.015625
1739203573.8321123,2d,34.8,87.8,3202473422,68,5940.015625
1739203574.9901304,2d,43.6,87.1,3202571289,71,5940.015625
1739203576.1642158,2d,39.4,87.5,3204424315,69,5940.015625
1739203577.3242161,2d,48.1,88.0,3204525790,63,5940.015625
1739203578.4340885,2d,61.3,88.4,3204607533,77,5940.015625
